"","log2FoldChange","padj","Factor"
"ko:K00024",0.0564064133337822,0.868201220726118,"Menthol_Menthol_vs_Control"
"ko:K00031",-0.00842768890381866,0.976907203762726,"Menthol_Menthol_vs_Control"
"ko:K00128",0.178640645843144,0.787336819119844,"Menthol_Menthol_vs_Control"
"ko:K00134",0.692161726213776,0.000288154391064379,"Menthol_Menthol_vs_Control"
"ko:K00140",0.754939391691854,0.0205797055410974,"Menthol_Menthol_vs_Control"
"ko:K00207",-0.456254270096699,0.305039306308179,"Menthol_Menthol_vs_Control"
"ko:K00235",-0.798861227860173,0.173556966915903,"Menthol_Menthol_vs_Control"
"ko:K00249",0.514782943791401,0.451339881943094,"Menthol_Menthol_vs_Control"
"ko:K00262",0.413183078241939,0.629345884974278,"Menthol_Menthol_vs_Control"
"ko:K00331",-0.189918388200768,0.868201220726118,"Menthol_Menthol_vs_Control"
"ko:K00333",-0.75820536050457,0.298257049242347,"Menthol_Menthol_vs_Control"
"ko:K00338",-0.298828095516037,0.812072783290502,"Menthol_Menthol_vs_Control"
"ko:K00357",-0.308997387677467,NA,"Menthol_Menthol_vs_Control"
"ko:K00411",0.0709411378709434,0.868047206781378,"Menthol_Menthol_vs_Control"
"ko:K00413",0.0283848969543384,0.976736481653439,"Menthol_Menthol_vs_Control"
"ko:K00414",-0.289221962977396,0.758003488713281,"Menthol_Menthol_vs_Control"
"ko:K00419",-0.728505764148724,NA,"Menthol_Menthol_vs_Control"
"ko:K00432",-1.2223211563356,0.153749729497108,"Menthol_Menthol_vs_Control"
"ko:K00456",0.0967165414927915,0.906160537481258,"Menthol_Menthol_vs_Control"
"ko:K00469",0.167866730688421,0.832804197065912,"Menthol_Menthol_vs_Control"
"ko:K00500",-0.135782973311078,0.917837404067893,"Menthol_Menthol_vs_Control"
"ko:K00522",0.632239566040692,8.3675474914535e-11,"Menthol_Menthol_vs_Control"
"ko:K00544",0.995877416738054,0.249898096252149,"Menthol_Menthol_vs_Control"
"ko:K00552",1.29530095279269,0.0127564556988321,"Menthol_Menthol_vs_Control"
"ko:K00616",-1.09589217116164,NA,"Menthol_Menthol_vs_Control"
"ko:K00643",0.107842951947466,0.868201220726118,"Menthol_Menthol_vs_Control"
