"trans","ko"
"TRINITY_DN9489_c0_g1_i2","ko:K00134"
"TRINITY_DN9589_c0_g1_i1","ko:K01689"
"TRINITY_DN9500_c0_g1_i1","ko:K02111"
"TRINITY_DN7791_c0_g1_i1","ko:K04043"
"TRINITY_DN8086_c0_g1_i1","ko:K02932"
"TRINITY_DN9476_c0_g1_i1","ko:K02932"
"TRINITY_DN9084_c0_g1_i1","ko:K02955"
"TRINITY_DN9084_c0_g1_i2","ko:K02955"
"TRINITY_DN3898_c0_g1_i1","ko:K02923"
"TRINITY_DN11729_c0_g1_i1","ko:K12165"
"TRINITY_DN9633_c0_g1_i2","ko:K01379"
"TRINITY_DN9633_c0_g1_i1","ko:K01379"
"TRINITY_DN13322_c0_g1_i1","ko:K12162"
"TRINITY_DN6446_c0_g1_i1","ko:K02910"
"TRINITY_DN8657_c0_g1_i1","ko:K16197"
"TRINITY_DN7881_c0_g1_i1","ko:K16197"
"TRINITY_DN9126_c0_g1_i2","ko:K16197"
"TRINITY_DN9126_c0_g2_i2","ko:K16197"
"TRINITY_DN9126_c0_g2_i1","ko:K16197"
"TRINITY_DN9117_c0_g1_i1","ko:K16197"
"TRINITY_DN9126_c0_g1_i3","ko:K16197"
"TRINITY_DN8750_c0_g1_i1","ko:K00140"
"TRINITY_DN8747_c0_g1_i1","ko:K02998"
"TRINITY_DN4038_c0_g1_i1","ko:K02883"
"TRINITY_DN8588_c0_g1_i1","ko:K04393"
"TRINITY_DN9376_c0_g1_i1","ko:K04393"
"TRINITY_DN8517_c0_g1_i1","ko:K04393"
"TRINITY_DN8588_c0_g1_i2","ko:K04393"
"TRINITY_DN9529_c2_g1_i1","ko:K05692"
"TRINITY_DN8862_c0_g1_i1","ko:K02155"
"TRINITY_DN8284_c0_g1_i1","ko:K02880"
"TRINITY_DN9387_c0_g1_i1","ko:K01647"
"TRINITY_DN7032_c0_g1_i1","ko:K00772"
"TRINITY_DN9523_c0_g1_i1","ko:K02105"
"TRINITY_DN9267_c0_g1_i1","ko:K00939"
"TRINITY_DN7284_c0_g2_i1","ko:K03246"
"TRINITY_DN7284_c0_g1_i1","ko:K03246"
"TRINITY_DN9092_c0_g1_i1","ko:K02984"
"TRINITY_DN8860_c0_g1_i1","ko:K13758"
"TRINITY_DN9326_c0_g2_i2","ko:K02960"
"TRINITY_DN9326_c0_g2_i1","ko:K02960"
"TRINITY_DN6378_c0_g1_i1","ko:K02894"
"TRINITY_DN7410_c0_g1_i1","ko:K00331"
"TRINITY_DN9284_c0_g1_i2","ko:K00024"
"TRINITY_DN9615_c0_g2_i2","ko:K01596"
"TRINITY_DN9615_c0_g2_i1","ko:K01596"
"TRINITY_DN9599_c0_g1_i1","ko:K02112"
"TRINITY_DN9562_c0_g1_i1","ko:K00789"
"TRINITY_DN6290_c0_g1_i1","ko:K00333"
"TRINITY_DN5821_c0_g1_i1","ko:K00338"
"TRINITY_DN9236_c0_g1_i1","ko:K01251"
"TRINITY_DN6200_c0_g1_i1","ko:K03094"
"TRINITY_DN21590_c0_g1_i1","ko:K02914"
"TRINITY_DN2964_c0_g1_i1","ko:K01724"
"TRINITY_DN9435_c0_g1_i1","ko:K13025"
"TRINITY_DN7870_c0_g1_i1","ko:K13025"
"TRINITY_DN8485_c0_g1_i1","ko:K11251"
"TRINITY_DN4086_c0_g1_i1","ko:K07953"
"TRINITY_DN10582_c0_g1_i1","ko:K11252"
"TRINITY_DN9087_c0_g1_i2","ko:K11252"
"TRINITY_DN9087_c0_g1_i1","ko:K11252"
"TRINITY_DN7870_c0_g1_i1","ko:K03257"
"TRINITY_DN9435_c0_g1_i1","ko:K03257"
"TRINITY_DN9631_c0_g1_i1","ko:K12823"
"TRINITY_DN13399_c0_g1_i1","ko:K12625"
"TRINITY_DN9064_c0_g1_i2","ko:K12812"
"TRINITY_DN9064_c0_g1_i3","ko:K12812"
"TRINITY_DN8047_c2_g1_i1","ko:K06215"
"TRINITY_DN9257_c0_g1_i1","ko:K08341"
"TRINITY_DN9623_c3_g1_i2","ko:K08341"
"TRINITY_DN9623_c3_g1_i11","ko:K08341"
"TRINITY_DN9623_c3_g1_i1","ko:K08341"
"TRINITY_DN8162_c0_g1_i1","ko:K02973"
"TRINITY_DN8071_c0_g1_i1","ko:K11827"
"TRINITY_DN9470_c0_g2_i1","ko:K02925"
"TRINITY_DN8083_c0_g1_i1","ko:K11251"
"TRINITY_DN8642_c0_g1_i1","ko:K11251"
"TRINITY_DN19910_c0_g1_i1","ko:K11251"
"TRINITY_DN4141_c0_g1_i1","ko:K09568"
"TRINITY_DN9280_c1_g2_i1","ko:K03768"
"TRINITY_DN18993_c0_g1_i1","ko:K10752"
"TRINITY_DN3494_c0_g1_i1","ko:K00940"
"TRINITY_DN8332_c0_g1_i1","ko:K00940"
"TRINITY_DN7848_c0_g1_i1","ko:K04565"
"TRINITY_DN9386_c0_g1_i1","ko:K08967"
"TRINITY_DN7232_c0_g1_i1","ko:K09568"
"TRINITY_DN8244_c0_g1_i1","ko:K10573"
"TRINITY_DN4401_c0_g1_i1","ko:K07375"
"TRINITY_DN8730_c0_g1_i1","ko:K07375"
"TRINITY_DN9280_c1_g2_i1","ko:K09567"
"TRINITY_DN9420_c0_g1_i1","ko:K09567"
"TRINITY_DN9605_c0_g1_i1","ko:K03231"
"TRINITY_DN8162_c0_g1_i1","ko:K02950"
"TRINITY_DN6378_c0_g1_i1","ko:K02874"
"TRINITY_DN9084_c0_g1_i1","ko:K02948"
"TRINITY_DN9084_c0_g1_i2","ko:K02948"
"TRINITY_DN9999_c0_g1_i1","ko:K05863"
"TRINITY_DN9362_c3_g1_i2","ko:K17286"
"TRINITY_DN9362_c3_g1_i5","ko:K17286"
"TRINITY_DN9362_c3_g1_i3","ko:K17286"
"TRINITY_DN9362_c3_g1_i4","ko:K17286"
"TRINITY_DN9362_c3_g1_i1","ko:K17286"
"TRINITY_DN9362_c3_g1_i6","ko:K17286"
"TRINITY_DN9157_c0_g1_i1","ko:K02962"
"TRINITY_DN7299_c0_g1_i1","ko:K02877"
"TRINITY_DN1015_c0_g1_i1","ko:K02938"
"TRINITY_DN25722_c0_g1_i1","ko:K02953"
"TRINITY_DN8396_c0_g1_i1","ko:K02953"
"TRINITY_DN8819_c0_g1_i1","ko:K02936"
"TRINITY_DN7943_c0_g1_i1","ko:K03113"
"TRINITY_DN6640_c0_g2_i1","ko:K05863"
"TRINITY_DN7806_c0_g2_i1","ko:K05758"
"TRINITY_DN7806_c0_g1_i1","ko:K05758"
"TRINITY_DN2962_c1_g1_i1","ko:K03008"
"TRINITY_DN8736_c0_g1_i1","ko:K02949"
"TRINITY_DN8506_c0_g1_i1","ko:K02993"
"TRINITY_DN8655_c0_g1_i1","ko:K02976"
"TRINITY_DN23616_c0_g1_i1","ko:K11252"
"TRINITY_DN7194_c0_g2_i1","ko:K03635"
"TRINITY_DN7194_c0_g1_i1","ko:K03635"
"TRINITY_DN13751_c0_g1_i1","ko:K02256"
"TRINITY_DN13751_c0_g1_i1","ko:K02262"
"TRINITY_DN9406_c0_g1_i1","ko:K03283"
"TRINITY_DN9406_c0_g1_i2","ko:K03283"
"TRINITY_DN8517_c0_g1_i1","ko:K04513"
"TRINITY_DN9367_c0_g1_i1","ko:K00235"
"TRINITY_DN9406_c0_g1_i1","ko:K09490"
"TRINITY_DN9406_c0_g1_i2","ko:K09490"
"TRINITY_DN9329_c0_g1_i1","ko:K22068"
"TRINITY_DN6867_c0_g1_i1","ko:K03007"
"TRINITY_DN6867_c0_g2_i1","ko:K03007"
"TRINITY_DN9486_c1_g1_i1","ko:K01915"
"TRINITY_DN20574_c0_g1_i1","ko:K02971"
"TRINITY_DN3123_c0_g1_i1","ko:K11254"
"TRINITY_DN4109_c0_g2_i1","ko:K12859"
"TRINITY_DN4109_c0_g1_i1","ko:K12859"
"TRINITY_DN8446_c0_g1_i1","ko:K07937"
"TRINITY_DN8933_c0_g1_i2","ko:K07937"
"TRINITY_DN6772_c0_g1_i1","ko:K07937"
"TRINITY_DN8933_c0_g1_i1","ko:K07937"
"TRINITY_DN25356_c0_g1_i1","ko:K07937"
"TRINITY_DN6772_c0_g2_i1","ko:K07937"
"TRINITY_DN9122_c0_g1_i1","ko:K07937"
"TRINITY_DN8790_c0_g1_i1","ko:K12845"
"TRINITY_DN5593_c0_g1_i1","ko:K02924"
"TRINITY_DN5934_c0_g1_i1","ko:K02957"
"TRINITY_DN8961_c0_g1_i1","ko:K02868"
"TRINITY_DN9489_c0_g1_i1","ko:K00134"
"TRINITY_DN8310_c0_g1_i2","ko:K02980"
"TRINITY_DN8310_c0_g1_i1","ko:K02980"
"TRINITY_DN23314_c0_g1_i1","ko:K13113"
"TRINITY_DN7378_c0_g1_i1","ko:K02937"
"TRINITY_DN7673_c0_g1_i1","ko:K02865"
"TRINITY_DN7967_c0_g3_i1","ko:K02929"
"TRINITY_DN7967_c0_g2_i1","ko:K02929"
"TRINITY_DN7967_c0_g1_i1","ko:K02929"
"TRINITY_DN9106_c0_g1_i1","ko:K03234"
"TRINITY_DN8891_c0_g1_i1","ko:K08738"
"TRINITY_DN9151_c0_g1_i2","ko:K07374"
"TRINITY_DN18345_c0_g2_i1","ko:K02908"
"TRINITY_DN8934_c0_g1_i1","ko:K02908"
"TRINITY_DN18345_c0_g1_i1","ko:K02908"
"TRINITY_DN9433_c0_g1_i1","ko:K10956"
"TRINITY_DN24426_c0_g1_i1","ko:K01803"
"TRINITY_DN7743_c0_g1_i1","ko:K02912"
"TRINITY_DN7715_c0_g1_i1","ko:K02921"
"TRINITY_DN8878_c0_g2_i1","ko:K15423"
"TRINITY_DN8774_c0_g1_i1","ko:K02991"
"TRINITY_DN5098_c0_g1_i1","ko:K02979"
"TRINITY_DN8609_c0_g1_i1","ko:K07936"
"TRINITY_DN514_c0_g1_i1","ko:K11130"
"TRINITY_DN9449_c0_g1_i1","ko:K00024"
"TRINITY_DN8302_c0_g1_i1","ko:K02995"
"TRINITY_DN7326_c0_g1_i1","ko:K02898"
"TRINITY_DN13681_c0_g1_i1","ko:K02703"
"TRINITY_DN8081_c0_g1_i1","ko:K02706"
"TRINITY_DN3383_c0_g1_i1","ko:K02635"
"TRINITY_DN798_c0_g1_i1","ko:K02704"
"TRINITY_DN18734_c0_g1_i1","ko:K07827"
"TRINITY_DN3155_c0_g1_i1","ko:K07827"
"TRINITY_DN9619_c0_g1_i3","ko:K10365"
"TRINITY_DN8510_c1_g2_i1","ko:K06269"
"TRINITY_DN9038_c0_g2_i1","ko:K06269"
"TRINITY_DN7880_c0_g1_i2","ko:K10418"
"TRINITY_DN7880_c0_g1_i1","ko:K10418"
"TRINITY_DN7880_c0_g1_i4","ko:K10418"
"TRINITY_DN7880_c0_g1_i3","ko:K10418"
"TRINITY_DN9316_c0_g1_i1","ko:K00128"
"TRINITY_DN9277_c1_g1_i1","ko:K04630"
"TRINITY_DN6741_c0_g1_i1","ko:K11253"
"TRINITY_DN9401_c0_g1_i1","ko:K02183"
"TRINITY_DN9132_c0_g1_i1","ko:K02183"
"TRINITY_DN8091_c0_g1_i1","ko:K02183"
"TRINITY_DN8409_c0_g1_i1","ko:K02966"
"TRINITY_DN9061_c0_g1_i2","ko:K00262"
"TRINITY_DN9061_c0_g1_i1","ko:K00262"
"TRINITY_DN3527_c0_g1_i1","ko:K02922"
"TRINITY_DN3527_c0_g2_i1","ko:K02922"
"TRINITY_DN9376_c0_g1_i1","ko:K04513"
"TRINITY_DN8588_c0_g1_i1","ko:K04513"
"TRINITY_DN8588_c0_g1_i2","ko:K04513"
"TRINITY_DN8878_c0_g2_i1","ko:K04382"
"TRINITY_DN1015_c0_g1_i1","ko:K02886"
"TRINITY_DN7122_c0_g1_i1","ko:K02992"
"TRINITY_DN17897_c0_g1_i1","ko:K02713"
"TRINITY_DN6290_c0_g1_i1","ko:K03935"
"TRINITY_DN9500_c0_g1_i1","ko:K02132"
"TRINITY_DN2683_c0_g1_i1","ko:K12734"
"TRINITY_DN8648_c0_g1_i1","ko:K07874"
"TRINITY_DN8364_c0_g1_i2","ko:K07874"
"TRINITY_DN8364_c0_g1_i1","ko:K07874"
"TRINITY_DN9582_c3_g1_i1","ko:K07874"
"TRINITY_DN8917_c0_g1_i2","ko:K12877"
"TRINITY_DN8917_c0_g1_i1","ko:K12877"
"TRINITY_DN8690_c0_g1_i1","ko:K02885"
"TRINITY_DN8899_c0_g1_i1","ko:K02958"
"TRINITY_DN9284_c0_g1_i2","ko:K00025"
"TRINITY_DN9660_c0_g5_i7","ko:K07374"
"TRINITY_DN7453_c0_g1_i1","ko:K02917"
"TRINITY_DN7070_c0_g1_i1","ko:K04802"
"TRINITY_DN1542_c0_g1_i1","ko:K03065"
"TRINITY_DN9582_c3_g1_i1","ko:K07904"
"TRINITY_DN8436_c0_g1_i1","ko:K03083"
"TRINITY_DN9026_c1_g1_i10","ko:K12158"
"TRINITY_DN9026_c1_g1_i5","ko:K12158"
"TRINITY_DN9026_c1_g1_i11","ko:K12158"
"TRINITY_DN9026_c1_g1_i4","ko:K12158"
"TRINITY_DN27070_c0_g1_i1","ko:K12158"
"TRINITY_DN4426_c0_g2_i1","ko:K12158"
"TRINITY_DN1477_c0_g1_i1","ko:K12158"
"TRINITY_DN8452_c0_g1_i1","ko:K12158"
"TRINITY_DN9026_c1_g1_i2","ko:K12158"
"TRINITY_DN4426_c0_g1_i1","ko:K12158"
"TRINITY_DN23_c0_g1_i1","ko:K02900"
"TRINITY_DN9391_c0_g2_i3","ko:K18584"
"TRINITY_DN9391_c0_g2_i2","ko:K18584"
"TRINITY_DN8887_c0_g1_i1","ko:K03263"
"TRINITY_DN7303_c0_g1_i1","ko:K02866"
